CODARCO;CODVIA;NOMEVIA;NUMQUART;Quartiere;Da;A;COD_NODO1;COD_NODO2;DATA_ISTIT;LUNGHEZ;CIVICO_MIN;ESPONENTE_;CIVICO_MAS;ESPONENTE0;CIVICO_MI0;ESPONENTE1;CIVICO_MA0;ESPONENTE2;Geo Point;Geo Shape;Codice nazionale Anncsu strada
399;44650;VIA PASUBIO;13;Porto - Saragozza;VIA MONTELLO;VIA VITTORIO VENETO;4684;4685;1991-10-21;143.0;4;;18;B;1;;15;;44.49773187618592, 11.320311003298754;"{""coordinates"": [[11.319482603495194, 44.497985954814446], [11.321139403102313, 44.49747779755737]], ""type"": ""LineString""}";760111.0
410;31900;VIA SANTA LIBERATA;16;Savena;VIA GAIBARA;VIA DI MONTE DONATO;5494;5499;1991-10-21;297.0;;;;;;;;;44.45710532497095, 11.34880859327982;"{""coordinates"": [[11.348233130595151, 44.458359049019045], [11.348355438067479, 44.45828985954315], [11.348414955106671, 44.45824470232869], [11.348446053682084, 44.45819677173884], [11.348487252446676, 44.45810638400182], [11.348514161383571, 44.45801291424629], [11.348548285757358, 44.45768784736828], [11.34857753884452, 44.45747607078482], [11.348589167398572, 44.457354196974435], [11.3486079220149, 44.45723386904619], [11.348678559185869, 44.45695735830507], [11.348693699165356, 44.456902670903645], [11.348719274334156, 44.4568345709387], [11.348751513622462, 44.45675618788541], [11.348805156056885, 44.456682441929935], [11.348870739188213, 44.45661182624462], [11.348963983191785, 44.45652543590218], [11.349261884100551, 44.456308130866525], [11.349397009269953, 44.456207356311], [11.349597035676075, 44.456078228884046], [11.349681203079992, 44.45604322274946]], ""type"": ""LineString""}";760291.0
751;45300;VIA FRANCESCO PETRARCA;15;Santo Stefano;VIA GRAZIOLO BAMBAGLIOLI;VIA GRAZIOLO BAMBAGLIOLI;5921;5923;1991-10-21;211.0;18;;40;;13;;27;2;44.48628058281774, 11.335198658507426;"{""coordinates"": [[11.33471993524107, 44.48663486475517], [11.33474879929826, 44.4865882891566], [11.334744415026133, 44.486548389294775], [11.334757007258034, 44.48651413794938], [11.33479799882071, 44.4864913062166], [11.335052665817182, 44.48643410725064], [11.33571727701954, 44.486290540095254], [11.335755955741005, 44.48625263097913], [11.335753072862904, 44.486207830029514], [11.335734421277962, 44.48616022782557], [11.335704678348167, 44.486114842131364], [11.335645355196146, 44.48609806873276], [11.33556983996765, 44.48609560762183], [11.335225620386796, 44.486148653002125], [11.334687158940323, 44.486233641204144], [11.334610585903615, 44.48622768107713], [11.334551214167032, 44.48619739520579]], ""type"": ""LineString""}";759587.0
753;4350;VIA GRAZIOLO BAMBAGLIOLI;15;Santo Stefano;VIA FRANCESCO PETRARCA;VIA FRANCESCO PETRARCA;5923;5921;1991-10-21;209.0;2;;8;;1;;19;;44.486452664576035, 11.33406378977246;"{""coordinates"": [[11.334551214167032, 44.48619739520579], [11.334265556243606, 44.48618860755473], [11.333947588420887, 44.486178805301044], [11.333700732012254, 44.48622184308938], [11.333631991383678, 44.48624923885122], [11.333594120632487, 44.48628000967734], [11.333581435175747, 44.4863122552227], [11.33360296722215, 44.48636180647438], [11.33388467928812, 44.48677192216248], [11.333918724881682, 44.48678522513383], [11.333963131727538, 44.486778321488025], [11.334136492141177, 44.48671279402251], [11.334351327989838, 44.48666398223287], [11.334560615120578, 44.486632127371486], [11.33471993524107, 44.48663486475517]], ""type"": ""LineString""}";759812.0
756;44600;VIA PASTRENGO;13;Porto - Saragozza;VIA CASTELFIDARDO;VIA PASTRENGO;5936;5935;1992-01-10;226.0;2;;22;;1;;3;;44.48819881328527, 11.336797866824307;"{""coordinates"": [[11.337671176370874, 44.48862704049025], [11.33739281765498, 44.48813210621668], [11.337191624178848, 44.48819193366841], [11.337168354845819, 44.48819972018714], [11.337010798045302, 44.487955716629386], [11.336989716565943, 44.487941455982], [11.336951484833836, 44.48794774824989], [11.336232374600682, 44.48818097845045], [11.336171816580798, 44.488206083662575], [11.336137112946028, 44.48823616933033], [11.336099919459004, 44.488268151472404], [11.335707445189279, 44.488395529920844]], ""type"": ""LineString""}";760110.0
759;45300;VIA FRANCESCO PETRARCA;15;Santo Stefano;VIA ODOFREDO;VIA DELL'OSSERVANZA;5906;5897;1991-10-21;166.0;46;;60;;39;;47;;44.48523619306877, 11.337804886938503;"{""coordinates"": [[11.336779540997922, 44.485235770188204], [11.336841463119761, 44.48524080442473], [11.337365303535694, 44.48524121597562], [11.338621679699648, 44.48523519988183], [11.338717376709921, 44.48523323034586], [11.338757791955738, 44.48520831138919], [11.338754019327022, 44.48517874312865], [11.338752465119942, 44.485139865745104]], ""type"": ""LineString""}";759587.0
763;32000;VIA DELLA LIBERTA';13;Porto - Saragozza;VIA CASTELFIDARDO;MURA DI PORTA D'AZEGLIO;5931;16654;1992-01-10;145.0;2;;8;;1;;9;;44.48802545492627, 11.338241716235183;"{""coordinates"": [[11.338544351507762, 44.48864184453939], [11.338446387291597, 44.48841547359803], [11.33827539678807, 44.48809039055114], [11.338109507614616, 44.487755074827334], [11.337918652873372, 44.48741934288251]], ""type"": ""LineString""}";759315.0
718;38930;VIA DEI MIRTILLI;15;Santo Stefano;VIA DEGLI ORTI;VIA DEI MIRTILLI;5890;5891;1993-04-09;114.0;2;;4;;3;;7;;44.477376976464626, 11.37167680312295;"{""coordinates"": [[11.371335052820756, 44.476924816596465], [11.37137362467675, 44.47697900323217], [11.372020179980904, 44.47782793849704]], ""type"": ""LineString""}";759163.0
719;42600;VIA DEGLI ORTI;15;Santo Stefano;VIA AUGUSTO ROMAGNOLI;VIA DEI MIRTILLI;5890;5846;1991-10-21;76.0;40;;44;;27;;27;;44.47708807641508, 11.3709166717363;"{""coordinates"": [[11.371335052820756, 44.476924816596465], [11.370498290651843, 44.47725133623368]], ""type"": ""LineString""}";759142.0
720;23580;VIA GHERARDO FORNI;15;Santo Stefano;VIA DEGLI ORTI;VIA DELLE FRAGOLE;5877;5878;1993-04-08;65.0;2;;2;;1;;7;;44.476370614472394, 11.372605022264363;"{""coordinates"": [[11.372327707170658, 44.476590846953435], [11.37242055268774, 44.47650124103724], [11.37251392362843, 44.47642491196875], [11.372694569119798, 44.47630425853888], [11.372897959797136, 44.476170276300174]], ""type"": ""LineString""}";759647.0
723;40150;VIA DELLE MORE;15;Santo Stefano;VIA DEI LAMPONI;VIA DELLE FRAGOLE;5859;5824;1991-10-21;74.0;2;;16;;;;;;44.4749845154887, 11.370959526981132;"{""coordinates"": [[11.370594476247037, 44.47519365693912], [11.371324577715225, 44.47477537403828]], ""type"": ""LineString""}";759360.0
