CODICE;Geo Point;Geo Shape
14547;44.509884127663916, 11.351112349839683;"{""coordinates"": [11.351112349839683, 44.509884127663916], ""type"": ""Point""}"
14552;44.507214068340566, 11.355208636865129;"{""coordinates"": [11.355208636865129, 44.507214068340566], ""type"": ""Point""}"
14553;44.50683291183469, 11.355917424320198;"{""coordinates"": [11.355917424320198, 44.50683291183469], ""type"": ""Point""}"
14556;44.50840394932358, 11.357094022977332;"{""coordinates"": [11.357094022977332, 44.50840394932358], ""type"": ""Point""}"
10192;44.5000432146801, 11.339824948735854;"{""coordinates"": [11.339824948735854, 44.5000432146801], ""type"": ""Point""}"
10188;44.501409604903884, 11.33592955873127;"{""coordinates"": [11.33592955873127, 44.501409604903884], ""type"": ""Point""}"
10209;44.501431303545544, 11.339621166606797;"{""coordinates"": [11.339621166606797, 44.501431303545544], ""type"": ""Point""}"
10206;44.50186048197875, 11.339807027042472;"{""coordinates"": [11.339807027042472, 44.50186048197875], ""type"": ""Point""}"
10222;44.505134614175134, 11.329836054171016;"{""coordinates"": [11.329836054171016, 44.505134614175134], ""type"": ""Point""}"
10214;44.50524495867911, 11.329150934407162;"{""coordinates"": [11.329150934407162, 44.50524495867911], ""type"": ""Point""}"
10213;44.50386698878319, 11.330946472338223;"{""coordinates"": [11.330946472338223, 44.50386698878319], ""type"": ""Point""}"
15069;44.48118712463965, 11.35989761648451;"{""coordinates"": [11.35989761648451, 44.48118712463965], ""type"": ""Point""}"
15070;44.48077642861649, 11.359387057414207;"{""coordinates"": [11.359387057414207, 44.48077642861649], ""type"": ""Point""}"
15095;44.47759258218148, 11.357053174057908;"{""coordinates"": [11.357053174057908, 44.47759258218148], ""type"": ""Point""}"
15155;44.47273714307841, 11.391522471852626;"{""coordinates"": [11.391522471852626, 44.47273714307841], ""type"": ""Point""}"
15568;44.50408324158441, 11.353675019584701;"{""coordinates"": [11.353675019584701, 44.50408324158441], ""type"": ""Point""}"
15572;44.50784638700175, 11.329947617349738;"{""coordinates"": [11.329947617349738, 44.50784638700175], ""type"": ""Point""}"
15580;44.495614416518364, 11.310598270171027;"{""coordinates"": [11.310598270171027, 44.495614416518364], ""type"": ""Point""}"
5887;44.47601590355929, 11.376809233800195;"{""coordinates"": [11.376809233800195, 44.47601590355929], ""type"": ""Point""}"
15601;44.466785313132924, 11.31211336122019;"{""coordinates"": [11.31211336122019, 44.466785313132924], ""type"": ""Point""}"
4337;44.46286878088114, 11.312356593453186;"{""coordinates"": [11.312356593453186, 44.46286878088114], ""type"": ""Point""}"
4175;44.445951487926216, 11.296484848172556;"{""coordinates"": [11.296484848172556, 44.445951487926216], ""type"": ""Point""}"
15610;44.4766944291242, 11.357645584838412;"{""coordinates"": [11.357645584838412, 44.4766944291242], ""type"": ""Point""}"
15617;44.494918143550684, 11.294403905036592;"{""coordinates"": [11.294403905036592, 44.494918143550684], ""type"": ""Point""}"
15622;44.49378667677708, 11.293923846912046;"{""coordinates"": [11.293923846912046, 44.49378667677708], ""type"": ""Point""}"
15627;44.53036461588082, 11.36281547324278;"{""coordinates"": [11.36281547324278, 44.53036461588082], ""type"": ""Point""}"
